!SIL 1.0	sil
<UNK> 1.0	spn
4 1.0	4
a 1.0	a
ai 1.0	a i
am 1.0	a m
an 1.0	a n
ang 1.0	a n g
anh 1.0	a n h
ao 1.0	a o
au 1.0	a u
b 1.0	b
ba 1.0	b a
ban 1.0	b a n
bang 1.0	b a n g
banh 1.0	b a n h
bao 1.0	b a o
bay 1.0	b a y
be 1.0	b e
ben 1.0	b e n
beng 1.0	b e n g
bi 1.0	b i
bia 1.0	b i a
binh 1.0	b i n h
biên 1.0	b i e e n
biêng 1.0	b i e e n g
biếc 1.0	b i e e s c
biếm 1.0	b i e e s m
biến 1.0	b i e e s n
biếng 1.0	b i e e s n g
biết 1.0	b i e e s t
biếu 1.0	b i e e s u
biền 1.0	b i e e f n
biển 1.0	b i e e r n
biểu 1.0	b i e e r u
biện 1.0	b i e e j n
biệt 1.0	b i e e j t
bo 1.0	b o
boa 1.0	b o a
bom 1.0	b o m
bon 1.0	b o n
bong 1.0	b o n g
bu 1.0	b u
bung 1.0	b u n g
buôn 1.0	b u o o n
buông 1.0	b u o o n g
buýt 1.0	b u y s t
buốt 1.0	b u o o s t
buồn 1.0	b u o o f n
buồng 1.0	b u o o f n g
buổi 1.0	b u o o r i
buộc 1.0	b u o o j c
bà 1.0	b a f
bài 1.0	b a f i
bàn 1.0	b a f n
bàng 1.0	b a f n g
bành 1.0	b a f n h
bào 1.0	b a f o
bàu 1.0	b a f u
bày 1.0	b a f y
bá 1.0	b a s
bác 1.0	b a s c
bách 1.0	b a s c h
bái 1.0	b a s i
bám 1.0	b a s m
bán 1.0	b a s n
báng 1.0	b a s n g
bánh 1.0	b a s n h
báo 1.0	b a s o
bát 1.0	b a s t
báu 1.0	b a s u
bâng 1.0	b a a n g
bâu 1.0	b a a u
bây 1.0	b a a y
bã 1.0	b a x
bãi 1.0	b a x i
bão 1.0	b a x o
bè 1.0	b e f
bèn 1.0	b e f n
bèo 1.0	b e f o
bé 1.0	b e s
bén 1.0	b e s n
béng 1.0	b e s n g
béo 1.0	b e s o
bét 1.0	b e s t
bê 1.0	b e e
bên 1.0	b e e n
bênh 1.0	b e e n h
bêu 1.0	b e e u
