# gunzip -c exp/tri2a/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri2a/graph 
# Started at Fri Oct 29 08:12:16 +07 2021
#
At utterance begin, sil accounts for 97.4% of phone occurrences, with duration (median, mean, 95-percentile) is (43,45.7,88) frames.
At utterance begin, nonsilence accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.6,10) frames.
At utterance end, sil accounts for 87.0% of phone occurrences, with duration (median, mean, 95-percentile) is (42,43.9,87) frames.
At utterance end, nonsilence accounts for 13.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.9,32) frames.
At utterance end, t_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,18.3,34) frames.
At utterance end, i_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.8,17) frames.
At utterance end, c_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,13.0,32) frames.
At utterance end, a_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,19.1,31) frames.
At utterance end, g_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.9,11) frames.
At utterance end, m_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.0,19) frames.
At utterance end, h_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.7,9) frames.
At utterance end, n_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,7) frames.
At utterance end, y_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,15.0,18) frames.
At utterance end, f_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.4,3) frames.
At utterance end, r_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.4,3) frames.
At utterance end, s_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.2,3) frames.
At utterance end, o_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.8,18) frames.
Overall, nonsilence accounts for 95.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.6,12) frames.
Overall, a_I accounts for 8.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,14) frames.
Overall, o_I accounts for 7.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.9,14) frames.
Overall, e_I accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.1,12) frames.
Overall, sil accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (35,38.1,84) frames.
